gap_id,subject,subject_en,stage,cn_domain,gap_type,upstream_subject,upstream_status,severity,action,note
G-JH-ZH-01,语文,Chinese,第四学段(7~9年级),阅读与鉴赏(实用类/论述类/文学作品),misaligned,English,"上游 English Reading Comprehension 仅 2 条 13+(Recall/Discuss)，无法支撑初中实用文/论述文/文学三类阅读体系",高,视角调整,缺小说/散文/议论/实用文体裁细分的初中深度阅读
G-JH-ZH-02,语文,Chinese,第四学段(7~9年级),表达与交流(写作·复杂记叙/简单议论/实用文),missing_domain,English,"上游 Writing Composition 仅 4 条且 age≤12；初中需复杂记叙/说明/议论/实用文体裁",高,新建模块微主题,议论文与实用文是初中新增核心
G-JH-ZH-03,语文,Chinese,第四学段(7~9年级),口语交际·讨论演讲与辩论,missing_domain,English,"上游 Speaking&Listening age≤12，无演讲/辩论",中,新建模块微主题,
G-JH-ZH-04,语文,Chinese,第四学段(7~9年级),古诗文·文言文阅读,missing_subject,—,"上游无中文古诗文；初中需文言文实词虚词/翻译/鉴赏",高,新建学科,中国特有；课标推荐背诵篇目激增
G-JH-ZH-05,语文,Chinese,第四学段(7~9年级),名著阅读(整本书),missing_domain,—,"上游无中文名著体系；初中要求完整阅读《朝花夕拾》《西游记》《骆驼祥子》《红星照耀中国》等",中,新建模块微主题,
G-JH-MATH-01,数学,Mathematics,第四学段(7~9年级),数与代数(有理数/实数/代数式),coverage_pending,Mathematics,"上游 Algebra 25 条/Number Representation 52 条，约 60% 可翻译复用",高,翻译即可,有理数运算/整式/分式/二次根式
G-JH-MATH-02,数学,Mathematics,第四学段(7~9年级),方程与不等式(一元一次/二元一次/一元二次/分式方程/不等式组),coverage_pending,Mathematics,"上游 Algebra 含 Simultaneous Equations(13+)、Quadratic Graphs(13+)",高,翻译即可,但缺一元二次方程/分式方程/不等式组的中国课标编排
G-JH-MATH-03,数学,Mathematics,第四学段(7~9年级),函数(一次函数/反比例函数/二次函数),misaligned,Mathematics,"上游 Algebra 有 Quadratic Graphs/Scatter Graphs，但缺系统化的三种函数体系",高,视角调整,函数是初中数学主线
G-JH-MATH-04,数学,Mathematics,第四学段(7~9年级),图形与几何(线段角/三角形/四边形/圆),coverage_pending,Mathematics,"上游 Geometry 69 条含大量三角形/圆/坐标几何，可复用",高,翻译即可,但需对齐中国课标的几何推理体系(定义/判定/性质)
G-JH-MATH-05,数学,Mathematics,第四学段(7~9年级),图形的变换(平移/轴对称/旋转/相似/锐角三角函数),missing_domain,Mathematics,"上游 Geometry 有 Reflections/Translations，但缺相似三角形/锐角三角函数",高,新建模块微主题,锐角三角函数是中国初中特有(国际多在高中)
G-JH-MATH-06,数学,Mathematics,第四学段(7~9年级),统计与概率(数据收集/分析/概率),coverage_pending,Mathematics,"上游 Data&Statistics 18/Probability 15，可复用",中,翻译即可,
G-JH-MATH-07,数学,Mathematics,第四学段(7~9年级),综合与实践(课题学习),missing_domain,Mathematics,"上游 Mathematical Thinking 48 条但非项目式",中,新建模块微主题,2022版强调跨学科项目学习
G-JH-PHYS-01,物理,Physics,第四学段(7~9年级),物质(形态变化/属性/结构),missing_subject,—,"上游无物理学科；Science/Matter&Materials 仅 40 条且面向小学",高,新建学科,声光热力电是初中核心
G-JH-PHYS-02,物理,Physics,第四学段(7~9年级),运动和相互作用(机械运动/力/声光电磁),missing_subject,—,"上游 Science/Forces&Motion 27 条含 8 条 13+(Motors/Hooke's Law/Moments)，可部分改编",高,新建学科,上游是 Anglophone 初中科学，非中国物理体系
G-JH-PHYS-03,物理,Physics,第四学段(7~9年级),能量(机械能/内能/电磁能),missing_subject,—,"上游 Science/Energy 28 条，可部分改编为物理能的概念",高,新建学科,
