id,subject,subject_en,domain,domain_en,name,type,age_range_start,age_range_end,stage,description,evidence,assessment_prompt,cn_standards,source_gap_id,origin
mtc_133,物理,Physics,物质,Matter,熔化与凝固·晶体与非晶体,CONCEPTUAL,12,13,第四学段(7~9年级),理解熔化和凝固是固液之间的物态变化，能从熔化图像区分晶体（有固定熔点）和非晶体（无固定熔点），知道熔化吸热、凝固放热。,能说出熔化和凝固的定义及吸放热情况；能从温度-时间图像区分晶体和非晶体；能说出冰的熔点和水的凝固点,给 {{name}} 一张某物质的熔化图像，请他判断是晶体还是非晶体，说出熔点是多少。,moe-2022-physics:S4.MA.01,G-JH-PHYS-01,cn_only
mtc_134,物理,Physics,物质,Matter,汽化与液化·蒸发与沸腾,CONCEPTUAL,12,13,第四学段(7~9年级),理解汽化（蒸发和沸腾）和液化是液气之间的物态变化，知道蒸发是在任何温度下液体表面发生的缓慢汽化，沸腾是在一定温度下液体内外同时发生的剧烈汽化。,能区分蒸发和沸腾的特点；能说出沸点与气压的关系；能用汽化吸热和液化放热解释现象,让 {{name}} 解释为什么夏天洒水能让地面变凉，再说说蒸发和沸腾有什么不同。,moe-2022-physics:S4.MA.02,G-JH-PHYS-01,cn_only
mtc_135,物理,Physics,物质,Matter,升华与凝华,CONCEPTUAL,12,13,第四学段(7~9年级),理解升华（固→气）和凝华（气→固）是固气之间直接的物态变化，不经过液态，知道升华吸热、凝华放热。,能说出升华和凝华的定义；能举出升华凝华的生活实例（干冰/霜/冰花）；能判断吸放热,让 {{name}} 解释冬天窗户内侧的冰花是怎么形成的，说说是哪种物态变化。,moe-2022-physics:S4.MA.03,G-JH-PHYS-01,cn_only
mtc_136,物理,Physics,物质,Matter,物态变化综合·吸放热判别,META,12,14,第四学段(7~9年级),综合运用六种物态变化的知识，能画出物态变化三角图，判别各种变化过程的吸热或放热，解释自然界和生活中的物态变化现象。,能画出固液气三态物态变化关系图；能正确标注六种变化的吸放热；能综合解释云雨雾露霜的形成,让 {{name}} 解释露水和霜分别在什么条件下形成，各属于哪种物态变化。,moe-2022-physics:S4.MA.04,G-JH-PHYS-01,cn_only
mtc_137,物理,Physics,物质,Matter,质量的概念与天平的使用,PROCEDURAL,12,13,第四学段(7~9年级),理解质量是物体所含物质的多少，是物体的固有属性（与形状状态位置无关），学会用托盘天平测量固体和液体的质量。,能说出质量的单位和估测常见物体的质量；能用天平正确测量固体质量；能用天平测量液体的质量（差量法）,让 {{name}} 用天平测出一杯水的质量，说出操作步骤和注意事项。,moe-2022-physics:S4.MA.05,G-JH-PHYS-01,cn_only
mtc_138,物理,Physics,物质,Matter,体积的测量·量筒的使用,PROCEDURAL,12,13,第四学段(7~9年级),学会用量筒测量液体和不规则固体的体积，掌握读数时的视线要求（与凹液面最低处相平）。,能量筒读数并说明视线要求；能用排水法测量不规则固体的体积；能选择合适量程和分度值的量筒,让 {{name}} 用量筒测一块小石块的体积，说说读数时视线该怎么看。,moe-2022-physics:S4.MA.06,G-JH-PHYS-01,cn_only
mtc_139,物理,Physics,物质,Matter,密度的概念与计算,CONCEPTUAL,12,14,第四学段(7~9年级),理解密度是物质的一种特性（同种物质密度相同，不同物质一般不同），掌握密度公式 ρ=m/V 和单位换算，能用密度知识鉴别物质。,能用密度公式 ρ=m/V 进行计算；能说明密度是物质的特性（与质量体积无关）；能用密度鉴别物质,给 {{name}} 一个金属块的质量和体积，请他算出密度并判断可能是什么金属。,moe-2022-physics:S4.MA.07,G-JH-PHYS-01,cn_only
mtc_140,物理,Physics,物质,Matter,测量固体和液体的密度,PROCEDURAL,12,14,第四学段(7~9年级),能用天平和量筒设计实验，测量不规则固体的密度（排水法测体积）和液体的密度（先测总质量再倒入量筒测体积），分析误差来源。,能设计测量固体密度的实验方案；能设计测量液体密度的实验方案（减小误差的正确顺序）；能分析实验误差来源,让 {{name}} 设计一个测量盐水密度的实验方案，特别说明先测什么后测什么才能减小误差。,moe-2022-physics:S4.MA.08,G-JH-PHYS-01,cn_only
mtc_141,物理,Physics,运动和相互作用,Motion & Interaction,机械运动与参照物,CONCEPTUAL,12,13,第四学段(7~9年级),理解机械运动是物体位置随时间的变化，知道运动和静止是相对的（取决于参照物的选择），能判断物体的运动状态。,能说出机械运动的定义；能选择合适的参照物判断运动与静止；能用相对运动解释生活现象,让 {{name}} 判断坐在行驶列车里的人相对地面和相对列车是运动还是静止的。,moe-2022-physics:S4.MM.01,G-JH-PHYS-02,cn_only
mtc_142,物理,Physics,运动和相互作用,Motion & Interaction,速度的计算与单位换算,PROCEDURAL,12,13,第四学段(7~9年级),理解速度是描述物体运动快慢的物理量，掌握匀速直线运动的速度公式 v=s/t，能进行 m/s 和 km/h 的单位换算。,能用 v=s/t 计算速度路程和时间；能进行 m/s 和 km/h 的换算；能比较不同物体的运动快慢,让 {{name}} 算一算一辆汽车以 72 km/h 的速度行驶 30 分钟走了多远，再换算 72 km/h 等于多少 m/s。,moe-2022-physics:S4.MM.02,G-JH-PHYS-02,cn_only
mtc_143,物理,Physics,运动和相互作用,Motion & Interaction,测量平均速度实验,PROCEDURAL,12,13,第四学段(7~9年级),能设计用刻度尺和秒表测量小车在斜面上运动的平均速度的实验，理解平均速度等于总路程除以总时间（不是速度的平均值）。,能设计测平均速度的实验方案；能正确测量各段路程和时间；能说明为什么平均速度不等于速度的平均值,让 {{name}} 设计一个测量小车从斜面顶端滑到底端平均速度的实验，说出需要测哪些量。,moe-2022-physics:S4.MM.03,G-JH-PHYS-04,upstream_adapt
