id,subject,subject_en,domain,domain_en,name,type,age_range_start,age_range_end,stage,description,evidence,assessment_prompt,cn_standards,source_gap_id,origin
mtc_001,语文,Chinese,识字与写字,Literacy & Handwriting,拼音·声母韵母,LANGUAGE,6,8,第一学段(1~2年级),"认识汉语拼音的23个声母和24个韵母，能正确认读、书写，建立字母与发音的联系。","能认读并书写全部声母与单韵母；能区分易混声母（b/d、p/q）；能按顺序背诵声母表","让 {{name}} 找出声母卡片读出来，再把容易搞混的 b 和 d 挑出来分辨。",moe-2022-chinese:S1.RW.01,G-ZH-01,cn_only
mtc_002,语文,Chinese,识字与写字,Literacy & Handwriting,拼音·声调与拼读,PROCEDURAL,6,8,第一学段(1~2年级),"掌握四声（阴平、阳平、上声、去声），能准确拼读音节，把声母韵母声调合成完整的音节。","能给单韵母标出四声并读准；能拼读声母+韵母+声调组成的音节；能直呼常见音节","把一个音节读给 {{name}} 听，请他标出是第几声；再让 {{name}} 把 m-ā-mā 拼出来。",moe-2022-chinese:S1.RW.02,G-ZH-01,cn_only
mtc_003,语文,Chinese,识字与写字,Literacy & Handwriting,汉字基本笔画与笔顺,PROCEDURAL,6,8,第一学段(1~2年级),"认识汉字的基本笔画（横竖撇捺点等）和常见笔顺规则（先横后竖、先撇后捺、从上到下等），能按笔顺正确书写。","能说出常见笔画的名称；能按正确笔顺书写简单汉字；能数清一个字的笔画数","给 {{name}} 一个生字，请他说出先写哪笔后写哪笔，再一笔一笔写出来。",moe-2022-chinese:S1.RW.03,G-ZH-01,cn_only
mtc_004,语文,Chinese,识字与写字,Literacy & Handwriting,常用偏旁部首与字形结构,CONCEPTUAL,6,8,第一学段(1~2年级),"认识常用偏旁部首，了解汉字的间架结构（左右、上下、半包围、全包围等），用偏旁推断字义。","能辨认常用偏旁部首并说出名称；能判断汉字的结构类型；能根据偏旁猜字义（如氵与水有关）","让 {{name}} 看一组带三点水的字，猜猜它们和什么有关，并说说这些字的结构。",moe-2022-chinese:S1.RW.04,G-ZH-01,cn_only
mtc_005,语文,Chinese,识字与写字,Literacy & Handwriting,识字方法·看图与归类,PROCEDURAL,6,8,第一学段(1~2年级),"运用多种识字方法（看图识字、归类识字、加一加减一减、字族识字）主动识记汉字。","能借助图片认字；能把同偏旁或同类的字归类；能用熟字加偏旁识记新字","给 {{name}} 几张图片和字卡，请他配对；再让 {{name}} 把带木字旁的字归到一起。",moe-2022-chinese:S1.RW.05,G-ZH-01,cn_only
mtc_006,语文,Chinese,识字与写字,Literacy & Handwriting,规范书写与正楷,PROCEDURAL,6,10,第一~二学段(1~4年级),"按正确的笔顺和间架结构规范书写汉字，做到字体端正、卷面整洁，养成良好书写习惯。","能把字写在田字格的合适位置；能保持字的大小匀称；能写端正的正楷字","请 {{name}} 在田字格里抄写一句话，注意横平竖直、字居中。",moe-2022-chinese:S1.RW.06,G-ZH-01,cn_only
mtc_007,语文,Chinese,识字与写字,Literacy & Handwriting,书法基础·毛笔楷书入门,PROCEDURAL,8,12,第二~三学段(3~6年级),"认识毛笔书法的工具（笔墨纸砚），学习执笔姿势和基本笔画写法，临摹简单楷书字帖。","能正确执笔和坐姿端正；能写出横竖撇捺等基本笔画；能临摹简单的楷书范字","让 {{name}} 用毛笔写一个永字，注意八种基本笔画都写到。",moe-2022-chinese:S2.RW.01,G-ZH-01,cn_only
mtc_008,语文,Chinese,识字与写字,Literacy & Handwriting,查字典·音序与部首检字,PROCEDURAL,6,10,第一~二学段(1~4年级),"学会用音序法和部首法查字典，独立确认字的读音和意思，培养自主识字能力。","能按音序查字法找到生字；能按部首查字法数笔画查字；能借助字典理解字义","给 {{name}} 一个不认识的字，请他用两种方法在字典里查出来。",moe-2022-chinese:S1.RW.07,G-ZH-01,cn_only
mtc_009,语文,Chinese,阅读与鉴赏,Reading & Appreciation,朗读·正确流利有感情,PROCEDURAL,6,8,第一学段(1~2年级),"能用普通话正确、流利、有感情地朗读课文，读准字音，不丢字不添字，注意停顿和语气。","能字音正确地朗读；能按标点停顿；能用合适的语气表达感情","让 {{name}} 朗读一段课文，注意声音响亮、停顿自然。",moe-2022-chinese:S1.RA.01,G-ZH-02,cn_only
mtc_010,语文,Chinese,阅读与鉴赏,Reading & Appreciation,读懂浅近童话寓言,CONCEPTUAL,6,8,第一学段(1~2年级),"阅读浅近的童话、寓言、故事，了解主要内容，对感兴趣的人物或情节有自己的感受。","能说出故事里发生了什么；能讲讲自己喜欢的角色及原因；能回答关于故事的简单问题","读完一个童话，请 {{name}} 讲讲故事讲了什么、最喜欢谁、为什么。",moe-2022-chinese:S1.RA.02,G-ZH-02,cn_only
