gap_id,subject,subject_en,stage,cn_domain,gap_type,upstream_status,severity,action,jh_base,note
G-SH-MATH-01,数学,Mathematics,高中(10~12年级),预备知识(集合/常用逻辑用语/相等与不等式),missing_domain,集合/逻辑用语为高中全新概念；不等式延伸自初中 mtc_154 一元一次不等式组,高,新建模块微主题,mtc_154,集合与充要条件是高中数学起点，初中无集合概念
G-SH-MATH-02,数学,Mathematics,高中(10~12年级),函数(概念/幂指对/三角/应用),progression,延伸自初中函数主线 mtc_155~157(一次/反比例/二次函数)；对数函数为高中新增,高,初高中进阶,mtc_155~mtc_157,从初中三种具体函数进阶到一般函数概念+幂指对三角函数族
G-SH-MATH-03,数学,Mathematics,高中(10~12年级),几何与代数(平面向量/复数),missing_domain,平面向量/复数为高中全新代数工具，初中 mtc_158~164 几何为其几何直觉基础,高,新建模块微主题,mtc_158~mtc_164,向量是高中新增核心概念，连接代数与几何
G-SH-MATH-04,数学,Mathematics,高中(10~12年级),概率与统计(随机事件/抽样/估计),progression,延伸自初中统计概率 mtc_165~166(数据分析/列举法求概率)，提升到高中深度,中,初高中进阶,mtc_165~mtc_166,从初中描述统计进阶到推断统计(抽样/估计总体)
G-SH-MATH-05,数学,Mathematics,高中(10~12年级),数学建模活动与数学探究,progression,延伸自初中课题学习 mtc_167(数学建模初体验)，要求完整的建模流程,中,初高中进阶,mtc_167,从初中体验式建模进阶到完整建模报告
G-SH-PHYS-01,物理,Physics,高中(10~12年级),机械运动与牛顿运动定律(必修一),progression,延伸自初中物理 mtc_170~172(机械运动/力/牛顿第一定律)，从定性到定量,高,初高中进阶,mtc_168~229(物理62条)~mtc_168~229(物理62条),初中定性描述运动和力，高中用公式定量分析(匀变速/牛顿第二定律F=ma)
G-SH-PHYS-02,物理,Physics,高中(10~12年级),曲线运动与万有引力(必修二),missing_domain,抛体/圆周/万有引力为高中新增内容；初中仅有直线运动基础 mtc_170,高,新建模块微主题,mtc_168~229(物理62条),从初中直线运动扩展到曲线运动，万有引力定律为全新内容
G-SH-PHYS-03,物理,Physics,高中(10~12年级),机械能与能量守恒(必修二),progression,延伸自初中能量 mtc_179~181(机械能/内能/电磁能)，引入动能定理和守恒定律,高,初高中进阶,mtc_168~229(物理62条)~mtc_168~229(物理62条),从初中能量概念定性认识进阶到动能定理/机械能守恒定量计算
G-SH-PHYS-04,物理,Physics,高中(10~12年级),静电场(必修三),missing_domain,电场强度/电势为高中新增深度概念；初中 mtc_177 仅有电流电压电阻定性认识,高,新建模块微主题,mtc_168~229(物理62条),从初中电路层面的电进阶到场层面的电(库仑定律/电场强度/电势差)
G-SH-PHYS-05,物理,Physics,高中(10~12年级),电路与电磁场电磁波(必修三),progression,延伸自初中电和磁 mtc_177~178(欧姆定律/电磁感应定性)，提升到定量分析,高,初高中进阶,mtc_168~229(物理62条)~mtc_168~229(物理62条),从初中简单电路/电磁感应定性进阶到闭合电路欧姆定律/法拉第定律定量
G-SH-CHEM-01,化学,Chemistry,高中(10~12年级),化学科学与实验探究(必修),progression,延伸自初中化学实验 mtc_183~184(基本操作/物质检验)，引入物质的量等定量工具,高,初高中进阶,mtc_230~mtc_231,从初中定性实验进阶到定量实验(物质的量/摩尔/配制溶液)
G-SH-CHEM-02,化学,Chemistry,高中(10~12年级),常见的无机物及其应用(金属/非金属),progression,延伸自初中物质性质 mtc_185~189(空气/水/碳/金属/酸碱盐)，深化元素化合物体系,高,初高中进阶,mtc_232~mtc_236,从初中常见物质性质进阶到系统化的元素族(钠铝铁/氯硫氮)
G-SH-CHEM-03,化学,Chemistry,高中(10~12年级),物质结构基础与化学反应规律(原子结构/周期律/化学键/反应速率/平衡),progression,延伸自初中组成结构与化学变化 mtc_190~193(分子原子/化学式/质量守恒/反应类型)，深化到周期律和化学平衡,高,初高中进阶,mtc_237~mtc_240,从初中原子结构初步/四大反应类型进阶到元素周期律/化学键/反应速率/化学平衡
G-SH-CHEM-04,化学,Chemistry,高中(10~12年级),简单的有机化合物及其应用,missing_domain,有机化学(甲烷/乙烯/乙醇)为高中全新模块，初中无有机化学内容,高,新建模块微主题,—,有机化合物是高中化学新增模块，初中完全未涉及
G-SH-CHEM-05,化学,Chemistry,高中(10~12年级),化学与社会发展,progression,延伸自初中跨学科实践，结合高中无机物和反应规律分析材料/能源/环保,中,初高中进阶,—,
G-SH-BIO-01,生物学,Biology,高中(10~12年级),分子与细胞(必修一),progression,延伸自初中生物 mtc_194~195(细胞显微观察/结构层次)，深化到分子水平(蛋白质/核酸/酶/光合呼吸),高,初高中进阶,mtc_241~mtc_242,从初中细胞结构层次进阶到细胞的分子组成/代谢/增殖分化的分子机制
G-SH-BIO-02,生物学,Biology,高中(10~12年级),遗传与进化(必修二),progression,延伸自初中遗传进化 mtc_201~202(基因DNA/变异进化定性)，深化到孟德尔定律和分子遗传,高,初高中进阶,mtc_248~mtc_249,从初中遗传进化定性认识进阶到孟德尔遗传定律/DNA复制/中心法则
G-SH-POL-01,思想政治,Politics,高中(10~12年级),中国特色社会主义(必修一),progression,延伸自初中道德与法治 mtc_230~232(基本国情/发展成就/革命传统)，深化为系统的中国特色社会主义理论,高,初高中进阶,mtc_277~mtc_279,从初中国情常识进阶到中国特色社会主义理论体系
G-SH-POL-02,思想政治,Politics,高中(10~12年级),经济与社会(必修二),progression,延伸自初中道德与法治国情教育 mtc_230~231，深化为经济制度与社会主义市场经济理论,高,初高中进阶,mtc_277~mtc_278,从初中经济常识进阶到基本经济制度/新发展理念/高质量发展
G-SH-POL-03,思想政治,Politics,高中(10~12年级),政治与法治(必修三),progression,延伸自初中道德与法治法治教育 mtc_228~229(宪法/违法与犯罪)，深化为政治制度与法治建设,高,初高中进阶,mtc_275~mtc_276,从初中宪法常识进阶到党的领导/人民代表大会制度/全面依法治国
G-SH-POL-04,思想政治,Politics,高中(10~12年级),哲学与文化(必修四),missing_domain,马克思主义哲学为高中全新模块；初中仅 mtc_233 传统文化有文化基础,高,新建模块微主题,mtc_280,唯物论/辩证法/认识论/历史唯物主义为高中新增哲学体系
G-SH-HIST-01,历史,History,高中(10~12年级),中外历史纲要(上)·中国史,progression,延伸自初中中国史 mtc_205~213(古代/近代/现代)，从通史叙事进阶到专题史和史料分析,高,初高中进阶,mtc_252~mtc_260,从初中通史脉络进阶到专题视角和历史的深层理解
G-SH-HIST-02,历史,History,高中(10~12年级),中外历史纲要(下)·世界史,progression,延伸自初中世界史 mtc_214~216(古代文明/工业革命/两次大战)，深化为系统的世界近现代史,高,初高中进阶,mtc_261~mtc_263,从初中世界史梗概进阶到完整的世界史纲要(古代→当代)
G-SH-GEO-01,地理,Geography,高中(10~12年级),自然地理(必修一),progression,延伸自初中地理 mtc_217~219(地球运动/地图)，深化为系统化自然地理(大气/水循环/地表形态),高,初高中进阶,mtc_264~mtc_266,从初中地球地图基础进阶到大气受热过程/水循环/内力外力作用的系统分析
G-SH-GEO-02,地理,Geography,高中(10~12年级),人文地理(必修二),missing_domain,人口/城镇化/产业区位为高中新增模块；初中 mtc_223~225 中国地理经济有初步基础,高,新建模块微主题,mtc_270~mtc_272,人文地理(人口/城镇/产业区位)为高中新增系统模块
