id,subject,subject_en,domain,domain_en,name,type,age_range_start,age_range_end,stage,description,evidence,assessment_prompt,cn_standards,source_gap_id,origin
mtc_487,数学,Mathematics,预备知识,Preliminaries,集合·概念与元素特征,CONCEPTUAL,15,16,高中(10~12年级),理解集合是把一些确定的、互不相同的对象作为整体来看待，掌握集合元素的三个特征（确定性、互异性、无序性），会用符号 ∈/∉ 表示元素与集合的归属关系。,能判断一组对象能否组成集合；能说出集合元素的三性（确定互异无序）；能用 ∈ 或 ∉ 表示元素与集合的关系,给 {{name}} 几组对象（如「大于2的偶数」「班里高个子同学」），请他判断哪些能组成集合并说明理由。,moe-2022-math:SH.PR.01,G-SH-MATH-01,cn_only
mtc_488,数学,Mathematics,预备知识,Preliminaries,集合的表示方法,PROCEDURAL,15,16,高中(10~12年级),掌握集合的三种表示方法（列举法、描述法、Venn图法），能根据集合的特点选择合适的方法表示集合。,能用列举法表示简单的有限集；能用描述法表示无限集或有限集；能根据需要选择合适的表示方法,让 {{name}} 分别用列举法和描述法表示「大于0且小于5的整数」组成的集合。,moe-2022-math:SH.PR.02,G-SH-MATH-01,cn_only
mtc_489,数学,Mathematics,预备知识,Preliminaries,集合间的关系·子集与相等,CONCEPTUAL,15,16,高中(10~12年级),理解集合间的包含关系（子集、真子集）和集合相等的含义，能用符号 ⊆/⫋ 正确表示，能求给定集合的全部子集和真子集。,能用 ⊆/⫋/= 符号表示集合间关系；能写出集合的所有子集和真子集；能判断两个集合是否相等,"给 {{name}} 集合 A={1,2,3}，请他写出 A 的所有子集和真子集，并说明子集个数规律。",moe-2022-math:SH.PR.03,G-SH-MATH-01,cn_only
mtc_490,数学,Mathematics,预备知识,Preliminaries,集合的运算·交并补与Venn图,PROCEDURAL,15,16,高中(10~12年级),掌握集合的交集、并集和补集（在给定全集下）运算，能综合进行交并补的混合运算，能用 Venn 图直观表示集合的关系和运算并解决简单的实际计数问题。,能求两个集合的交集并集和补集；能用数轴或 Venn 图辅助分析混合运算；能用集合运算解决实际计数问题,"给 {{name}} 全集 U={1,2,3,4,5,6}、A={1,2,3}、B={2,4,6}，请他求 A∩B、A∪B 和 (∁UA)∩B，并用 Venn 图说明。",moe-2022-math:SH.PR.04,G-SH-MATH-01,cn_only
mtc_491,数学,Mathematics,预备知识,Preliminaries,充分条件与必要条件,CONCEPTUAL,15,16,高中(10~12年级),理解充分条件、必要条件、充要条件的意义，能对简单命题判断「p 是 q 的」何种条件（充分不必要/必要不充分/充要/既不充分也不必要）。,能正确判断四种条件关系；能举例说明四种条件的区别；能用箭头推理判断条件关系,给 {{name}} 命题 p:x>2，q:x>1，请他判断 p 是 q 的什么条件并说明理由。,moe-2022-math:SH.PR.05,G-SH-MATH-01,cn_only
mtc_492,数学,Mathematics,预备知识,Preliminaries,全称量词与存在量词,CONCEPTUAL,15,16,高中(10~12年级),理解全称量词（∀任意）和存在量词（∃存在）的含义，能对含量词的命题进行否定，能判断全称命题和特称命题的真假。,能区分全称命题和特称命题；能正确写出含量词命题的否定；能判断含量词命题的真假,让 {{name}} 写出命题「对所有实数 x，x²≥0」的否定，并判断原命题和否定命题的真假。,moe-2022-math:SH.PR.06,G-SH-MATH-01,cn_only
mtc_493,数学,Mathematics,预备知识,Preliminaries,不等式的基本性质与比较大小,CONCEPTUAL,15,16,高中(10~12年级),掌握不等式的基本性质（对称性、传递性、加减乘除的性质），能运用不等式性质或作差法比较两个实数或代数式的大小。,能说出不等式的基本性质；能用不等式性质比较两个式子的大小；能用作差法比较大小并判断符号,让 {{name}} 用作差法比较 (x+1)(x+2) 与 (x-1)(x+4) 的大小。,moe-2022-math:SH.PR.07,G-SH-MATH-01,progression
mtc_494,数学,Mathematics,预备知识,Preliminaries,一元二次不等式的解法,PROCEDURAL,15,16,高中(10~12年级),能从二次函数的观点理解一元二次不等式，掌握借助二次函数图像解一元二次不等式的方法，理解「三个二次」（方程、函数、不等式）的联系。,能用图像法解一元二次不等式；能说明二次方程函数与不等式的关系；能解含参数的简单一元二次不等式,让 {{name}} 解不等式 x²-5x+6>0，并结合二次函数图像解释解集的含义。,moe-2022-math:SH.PR.08,G-SH-MATH-01,progression
mtc_495,数学,Mathematics,预备知识,Preliminaries,基本不等式及其应用,PROCEDURAL,16,17,高中(10~12年级),"掌握基本不等式 a+b≥2√(ab)（a,b>0）及其变形，能用基本不等式求简单函数的最值，理解等号成立的条件。",能写出基本不等式及等号成立条件；能用基本不等式求最值（和定积最大、积定和最小）；能检验等号能否取到,让 {{name}} 用基本不等式求当 x>0 时 y=x+4/x 的最小值，并说明等号何时成立。,moe-2022-math:SH.PR.09,G-SH-MATH-01,cn_only
mtc_496,数学,Mathematics,函数,Functions,函数的概念与定义域值域,CONCEPTUAL,15,16,高中(10~12年级),用集合对应的语言理解函数的概念（定义域、值域、对应关系），掌握函数的三种表示法，能求简单函数的定义域和值域。,能用集合对应语言说明函数的概念；能求给定函数的定义域；能求简单函数的值域,给 {{name}} 函数 f(x)=√(x-2)+1/(x-3)，请他求出定义域。,moe-2022-math:SH.FN.01,G-SH-MATH-02,progression
